fid,Id,codig,POINT_X,POINT_Y,UCS_F,pH,N,MO,K,Ca,Mg,CIC,P,Fe,Mn,Zn,Cu,S,B,Ar,L,A,Clasif,Al,asnm,C,Cobertura,Tipo_Cober,dem1,dem_aspect1,dem_aspect_slope1
1,0,1,882401.301101,1086471.56594,SEef1,5.1,0.28,6.3,0.37,1.67,0.2,19,10,120,57,4.7,1.6,15.7,0.08,17,35,48,Franco,0.5,1991.277954,5.1,Guadua_Plantada,Bosque,1944.47204589844,173.626205444336,6.97380924224854
2,0,2,882341.301101,1086501.56594,SEef1,5.2,0.3,22,0.51,2.81,0.22,17,8,206,41,4.9,3.7,10.1,0.3,15,34,51,Franco,0.4,1991.277954,9.6,Guadua_Plantada,Bosque,1951.29956054688,157.630584716797,37.8591766357422
3,0,3,882371.301101,1086501.56594,SEef1,5.3,0.2,4.4,0.48,2.12,0.14,17,3,131,39,4.2,2.1,15.2,0.14,17,35,47,Franco,0.3,1979.657954,4.6,Guadua_Plantada,Bosque,1950.58288574219,143.126693725586,24.3999042510986
4,0,4,882401.301101,1086501.56594,SEef1,5.2,0.23,5,0.39,1.87,0.15,18,9,138,66,4.7,1.9,20.9,0.11,17,37,46,Franco,0.4,1980.277954,4.8,Guadua_Plantada,Bosque,1949.7431640625,123.353073120117,26.0308132171631
5,0,5,882341.301101,1086531.56594,SEef1,5,0.31,7.2,0.23,0.71,0.18,22,12,163,28,3.6,1.8,6.4,0.09,21,31,48,Franco,0.7,1982.5703125,5.4,Guadua_Plantada,Bosque,1957.55444335938,158.046752929688,18.9577293395996
6,0,6,882341.301101,1086561.56594,SIde,5,0.38,9.1,0.49,1.48,0.39,20,9,122,53,3.6,3,20.4,0.24,19,29,52,Franco,0.6,1983.18469238,5.9,Guadua_Plantada,Bosque,1971.43322753906,304.929138183594,28.1180610656738
7,0,7,882401.301101,1086561.56594,SEef1,5.1,0.68,20.2,0.33,0.48,0.24,30,10,159,51,7.7,3.6,14.6,0.17,21,19,59,FrancoArcillosoArenoso,1.5,1987.53393555,9.1,Progenie,Silvopastoril,1961.05981445312,159.067581176758,35.8840560913086
8,0,8,882461.301101,1086561.56594,SEef1,5.4,0.58,16.1,0.35,0.64,0.17,29,2,172,24,5.2,1,4.6,0.1,15,22,63,FrancoArenoso,0.7,1987.75427246,8,Progenie,Silvopastoril,1959.57507324219,115.135276794434,20.9092597961426
9,0,9,882521.301101,1086561.56594,SEef1,4.9,0.37,8.9,0.22,0.3,0.09,19,4,277,28,5.8,2.8,14.2,0.36,17,24,59,FrancoArenoso,1.2,2001.045776,5.9,Guadua,Bosque,1951.58215332031,184.451049804688,10.0915460586548
10,0,10,882341.301101,1086621.56594,SIde,5.1,0.7,21.3,0.47,0.62,0.23,29,19,150,53,5.5,2.7,7.4,0.49,15,16,69,FrancoArenoso,1.2,1974.47583008,9.4,Pino_Romeron,Silvopastoril,1968.54895019531,174.283996582031,1.48024952411652
11,0,11,882401.301101,1086621.56594,SIde,5,0.7,21.3,0.47,0.78,0.23,33,6,179,68,7.3,3.2,4.8,0.23,16,24,60,FrancoArenoso,1.4,1981.49975586,9.4,Pino_Romeron,Silvopastoril,1975.23779296875,2.6258544921875,19.3806991577148
12,0,12,882461.301101,1086621.56594,SEef1,5.3,0.68,20.2,0.2,0.4,0.14,28,6,152,25,3.3,1.9,7.8,0.34,12,4,84,ArenoFrancoso,0.9,1984.35449219,9.1,Progenie,Silvopastoril,1973.96118164062,130.488082885742,3.96422839164734
13,0,13,882521.301101,1086621.56594,SEef1,4.8,0.58,16,0.3,0.5,0.19,33,7,187,53,5,2.6,2.9,0.38,16,32,52,FrancoArenoso,1.4,1974.25976563,7.9,Progenie,Silvopastoril,1959.93151855469,102.046394348145,12.5782356262207
14,0,14,882581.301101,1086621.56594,SEef1,4.9,0.53,14.3,0.24,0.2,0.16,35,8,167,54,5.2,3.6,5.7,0.37,16,24,60,FrancoArenoso,1.5,1969.66210938,7.4,Germoplasma,Silvopastoril,1960.90893554688,227.414733886719,22.0091819763184
15,0,15,882641.301101,1086621.56594,SEef1,5,0.74,23.7,0.31,0.26,0.2,34,6,227,31,5,2.9,2.2,0.36,10,28,62,FrancoArenoso,1.9,1977.56237793,10.1,Germoplasma,Silvopastoril,1969.48913574219,30.534252166748,21.4190940856934
16,0,16,882371.301101,1086651.56594,SIde,5.2,0.64,18.8,0.52,0.91,0.18,34,4,211,39,7.8,2.2,11.5,0.21,13,32,56,FrancoArenoso,0.9,1973.07421875,8.7,Pino_Romeron,Silvopastoril,1968.45471191406,19.3344116210938,27.6723403930664
17,0,17,882611.301101,1086651.56594,SEef1,5,0.69,20.9,0.18,0.2,0.13,29,6,200,44,5.2,3.4,5.8,0.32,15,18,68,FrancoArenoso,1.7,1964.71411133,9.3,Pino_Romeron,Silvopastoril,1957.13952636719,12.4491806030273,29.6879863739014
18,0,18,882641.301101,1086651.56594,SEef1,5.1,0.67,20.1,0.18,0.19,0.12,27,4,166,32,4.2,3,3,0.18,13,26,61,FrancoArenoso,1.4,1964.96948242,9.1,Pino_Romeron,Silvopastoril,1959.38671875,44.584400177002,18.4364528656006
19,0,19,882311.301101,1086681.56594,SIde,5.2,0.63,18.2,0.31,0.58,0.12,29,2,156,39,3.9,2,4.2,0.24,13,28,59,FrancoArenoso,1.1,1958.11914063,8.6,Pino_Romeron,Silvopastoril,1953.04479980469,277.583709716797,18.1094570159912
20,0,20,882341.301101,1086681.56594,SIde,5.2,0.68,20.4,0.42,0.99,0.22,29,2,158,18,4.9,1.1,2.6,0.16,11,16,73,FrancoArenoso,1,1971.54589844,9.2,Pino_Romeron,Silvopastoril,1962.91711425781,249.013168334961,7.14558982849121
21,0,21,882401.301101,1086681.56594,SIde,5.1,0.68,20.4,0.67,1.64,0.22,30,7,183,61,7.1,3,3.5,0.38,13,28,59,FrancoArenoso,1,1961.40039063,9.2,Pino_Romeron,Silvopastoril,1958.69067382812,352.4599609375,18.1169013977051
22,0,22,882461.301101,1086681.56594,SEef1,4.8,0.68,20.3,0.32,0.3,0.22,34,9,169,44,7.2,3.5,16.8,0.58,13,28,59,FrancoArenoso,1.4,1963.84338379,9.2,Progenie,Silvopastoril,1956.99926757812,324.81640625,20.6196403503418
23,0,23,882491.301101,1086681.56594,SEef1,5.1,0.67,20.1,0.33,0.53,0.17,32,4,188,42,6.6,3.5,3.2,0.27,13,24,63,FrancoArenoso,1.3,1960.1463623,9.1,Progenie,Silvopastoril,1957.15808105469,24.0942535400391,24.237606048584
24,0,24,882521.301101,1086681.56594,SEef1,5.1,0.56,15.2,0.58,1.38,0.27,26,9,179,78,8.6,4.6,7.8,0.21,13,36,51,Franco,1,1956.22180176,7.7,Progenie,Silvopastoril,1953.73657226562,27.3783226013184,19.7548427581787
25,0,25,882581.301101,1086681.56594,SEef1,4.9,0.61,17.4,0.16,0.05,0.1,29,7,144,29,5.4,3.1,4.4,0.19,17,18,65,FrancoArenoso,0.6,1956.07055664,8.3,Pino_Romeron,Silvopastoril,1948.01330566406,68.3446426391602,12.8763313293457
26,0,26,882641.301101,1086681.56594,SEef1,4.9,0.65,19,0.16,0.05,0.1,31,5,264,40,4.3,3.9,7.6,0.32,13,30,57,FrancoArenoso,1.4,1943.1854248,8.8,Pino_Romeron,Silvopastoril,1943.70715332031,328.272308349609,28.458065032959
27,0,27,882701.301101,1086681.56594,SEef1,4.9,0.73,23,0.23,0.17,0.15,37,4,226,20,4.8,3.6,2.8,0.1,13,24,63,FrancoArenoso,1.7,1942.0645752,9.9,Pino_Romeron,Silvopastoril,1938.37622070312,33.995189666748,16.0603218078613
28,0,28,882341.301101,1086711.56594,SIde,5.1,0.75,24.2,0.27,0.2,0.17,27,4,181,10,4.5,1.1,14.3,0.27,17,20,63,FrancoArenoso,1.6,1967.38464355,10,Cafe,Agricola,1958.24182128906,37.4265937805176,27.0852336883545
29,0,29,882371.301101,1086711.56594,SIde,5,0.66,19.6,0.46,0.36,0.23,33,9,260,22,5.6,2.3,10.2,0.43,13,28,59,FrancoArenoso,1.5,1958.22717285,8.7,Cafe,Agricola,1957.72729492188,4.43099212646484,25.1897563934326
30,0,30,882341.301101,1086741.56594,SIde,5.1,0.66,19.5,0.4,0.83,0.16,28,4,125,43,4.5,1,2.1,0.16,13,23,63,FrancoArenoso,1.1,1954.46166992,8.7,Cafe,Agricola,1947.96850585938,332.380737304688,25.1922397613525
31,0,31,882371.301101,1086741.56594,SIde,5.1,0.74,23.8,0.53,1.15,0.21,28,5,341,31,7.9,5.4,7.2,0.3,13,25,61,FrancoArenoso,1.5,1952.82263184,9.9,Cafe,Agricola,1947.056640625,349.033782958984,15.2407302856445
32,0,32,882401.301101,1086741.56594,SIde,5.2,0.71,22,1,3.4,0.24,27,11,159,21,7.1,4.7,3.7,0.43,13,19,67,FrancoArenoso,0.6,1953.10046387,9.6,Pino_Romeron,Silvopastoril,1948.31945800781,37.4717254638672,5.47890758514404
33,0,33,882461.301101,1086741.56594,SIde,5.2,0.65,19.2,0.77,1.9,0.36,30,9,391,49,6.8,6,0.4,0.37,17,17,65,FrancoArenoso,0.8,1943.98339844,8.9,Ganaderia,Pasturas,1942.69055175781,32.1548538208008,12.7127504348755
34,0,34,882521.301101,1086741.56594,SEef1,5,0.57,15.7,0.54,1.15,0.17,25,7,187,37,6.9,6.5,22.5,0.16,17,23,60,FrancoArenoso,1.1,1940.47180176,7.9,Ganadería,Pasturas,1938.98681640625,359.224182128906,11.4115562438965
35,0,35,882581.301101,1086741.56594,SEef1,5,0.7,21.4,0.32,0.21,0.23,28,7,192,18,3.5,5.1,0,0.22,17,11,72,FrancoArenoso,1.7,1936.96411133,9.5,Eucalipto,Silvopastoril,1935.0048828125,16.1182174682617,16.0365447998047
36,0,36,882641.301101,1086741.56594,SEef1,5.2,0.74,23.5,0.61,0.05,0.2,31,8,156,5,2.4,3.9,0,0.45,17,21,62,FrancoArenoso,1.6,1925.03198242,10.1,Eucalipto,Silvopastoril,1924.64343261719,43.474781036377,20.1678810119629
37,0,37,882701.301101,1086741.56594,SEef1,4.9,0.63,18.2,0.23,0.06,0.15,30,5,142,23,3.2,6,0,0.32,22,21,57,FrancoArcillosoArenoso,1.4,1916.54187012,8.6,Eucalipto,Silvopastoril,1917.79650878906,6.91290283203125,21.9807415008545
38,0,38,882731.301101,1086741.56594,GAef1,5,0.69,20.7,0.43,0.63,0.16,27,7,247,37,6.8,5.3,15.7,0.29,24,19,57,FrancoArcillosoArenoso,1.4,1911.68505859,9.3,Eucalipto,Silvopastoril,1913.70837402344,26.0337677001953,26.6771144866943
39,0,39,882761.301101,1086741.56594,GAef1,4.9,0.62,17.8,0.21,0.19,0.16,25,6,164,65,4,7.6,1.9,0.36,24,21,55,FrancoArcillosoArenoso,1.5,1901.77966309,8.4,Eucalipto,Silvopastoril,1904.82580566406,28.3899192810059,20.6623783111572
40,0,40,882371.301101,1086771.56594,SIde,5.2,0.67,20,0.59,0.82,0.2,34,9,255,24,7.6,4.8,12.3,0.46,16,29,55,FrancoArenoso,1.1,1947.59777832,8.9,Cafe,Agricola,1943.12719726562,32.0335998535156,6.62049102783203
41,0,41,882521.301101,1086771.56594,SEef1,4.9,0.62,17.6,0.58,1.04,0.23,28,12,264,71,6.2,5.6,16,0.24,26,21,53,FrancoArcillosoArenoso,1.5,1930.92565918,8.4,Pino_Romeron,Silvopastoril,1931.205078125,358.743499755859,12.6018753051758
42,0,42,882611.301101,1086771.56594,GAef1,5.1,0.66,19.7,0.37,0.2,0.2,29,5,200,50,6.1,5.3,10.5,0.16,22,19,59,FrancoArcillosoArenoso,1.2,1919.92504883,9,Eucalipto,Silvopastoril,1922.48071289062,52.7220993041992,24.7313709259033
43,0,43,882371.301101,1086801.56594,SIde,5.1,0.67,19.8,0.65,0.94,0.25,33,4,315,55,9.8,7,12.9,0.46,22,25,53,FrancoArcillosoArenoso,1.1,1939.48425293,9,rastrojo,Bosque,1938.53942871094,311.376770019531,21.9800872802734
44,0,44,882461.301101,1086801.56594,SIde,5,0.62,17.8,0.41,0.64,0.19,29,6,232,49,5,7.1,10,0.4,25,25,51,FrancoArcillosoArenoso,1.1,1931.36743164,8.4,Bosque,Bosque,1930.74340820312,65.8479843139648,11.0075464248657
45,0,45,882521.301101,1086801.56594,GAef1,5.5,0.39,9.5,0.27,0.67,0.15,22,1,191,18,4,3.8,8.5,0.11,14,23,63,FrancoArenoso,0.3,1926.09240723,6.1,Pino_Romeron,Silvopastoril,1926.00231933594,7.71330261230469,8.496506690979
